epoch,step,train/char_loss,train/loss,train/seq_loss,train/struct_loss,val/loss
0,1104,,,,,2.1496076583862305
0,1104,0.33712267875671387,3.4564316272735596,2.444214105606079,0.9380494952201843,
1,2209,,,,,1.9191631078720093
1,2209,0.14381852746009827,2.2876639366149902,1.945959448814392,0.31006622314453125,
2,3314,,,,,1.7194328308105469
2,3314,0.11858461797237396,1.9547183513641357,1.7331150770187378,0.19551444053649902,
3,4419,,,,,1.8679625988006592
3,4419,0.11141515523195267,1.7450259923934937,1.5753202438354492,0.1451956331729889,
4,5524,,,,,1.5559762716293335
4,5524,0.10842582583427429,1.6002544164657593,1.4578207731246948,0.11858198046684265,
5,6629,,,,,1.3167484998703003
5,6629,0.10690426081418991,1.49037504196167,1.3645074367523193,0.10234982520341873,
6,7734,,,,,1.2065486907958984
6,7734,0.10601666569709778,1.3789136409759521,1.2632324695587158,0.09235651791095734,
7,8839,,,,,1.006187081336975
7,8839,0.10540415346622467,1.256243348121643,1.1522353887557983,0.08081832528114319,
8,9944,,,,,0.9215065240859985
8,9944,0.10497410595417023,1.148176670074463,1.0480988025665283,0.0769825205206871,
9,11049,,,,,0.8044926524162292
9,11049,0.10462293028831482,1.0426950454711914,0.9505032896995544,0.06917529553174973,
10,12154,,,,,0.658566415309906
10,12154,0.10436553508043289,0.9424190521240234,0.8503875732421875,0.06907045096158981,
11,13259,,,,,0.7613136172294617
11,13259,0.10403222590684891,0.8474483489990234,0.7624151706695557,0.06214616447687149,
12,14364,,,,,0.5133489966392517
12,14364,0.10367978364229202,0.7767189741134644,0.6943557262420654,0.05955364927649498,
13,15469,,,,,0.531499981880188
13,15469,0.10323984175920486,0.7201875448226929,0.6394965052604675,0.057979390025138855,
14,16574,,,,,1.0646358728408813
14,16574,0.10268616676330566,0.6648039221763611,0.5915096998214722,0.05070367828011513,
15,17679,,,,,0.43875083327293396
15,17679,0.1021704375743866,0.6219565868377686,0.550683319568634,0.04879596829414368,
16,18784,,,,,0.37666594982147217
16,18784,0.10172145068645477,0.5868995189666748,0.5184010863304138,0.04611967131495476,
17,19889,,,,,0.33871737122535706
17,19889,0.10125734657049179,0.5533750057220459,0.48820215463638306,0.042895857244729996,
